Application mode,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Class
17.0,1.0,0.0,1.0,0.0,1.0,21.0,6.0,7.0,6.0,10.571428571428571,6.0,8.0,5.0,11.0,2
1.0,1.0,0.0,1.0,0.0,1.0,18.0,5.0,7.0,4.0,13.25,5.0,5.0,5.0,12.0,2
1.0,1.0,0.0,1.0,0.0,0.0,20.0,6.0,6.0,5.0,13.2,6.0,7.0,0.0,0.0,0
9.0,1.0,0.0,1.0,0.0,0.0,18.0,6.0,10.0,1.0,12.0,6.0,14.0,2.0,11.0,1
8.0,1.0,0.0,1.0,0.0,0.0,18.0,7.0,8.0,7.0,13.30625,8.0,8.0,8.0,14.545,2
1.0,1.0,0.0,1.0,0.0,0.0,20.0,5.0,8.0,4.0,12.5,5.0,8.0,4.0,12.25,2
1.0,1.0,0.0,1.0,0.0,0.0,18.0,7.0,7.0,6.0,11.666666666666666,7.0,8.0,6.0,13.5,1
1.0,0.0,0.0,1.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
9.0,1.0,0.0,1.0,0.0,0.0,20.0,7.0,14.0,7.0,11.4375,8.0,9.0,8.0,11.425,1
1.0,1.0,0.0,1.0,0.0,0.0,18.0,8.0,12.0,7.0,12.857142857142858,8.0,12.0,7.0,12.857142857142858,2
1.0,1.0,0.0,1.0,0.0,1.0,19.0,6.0,8.0,6.0,13.375,6.0,7.0,6.0,12.285714285714286,2
1.0,0.0,0.0,1.0,0.0,0.0,19.0,7.0,8.0,6.0,13.296666666666669,8.0,9.0,7.0,14.114285714285714,2
1.0,1.0,1.0,1.0,0.0,1.0,18.0,6.0,8.0,5.0,11.6,6.0,12.0,4.0,11.0,1
8.0,1.0,0.0,1.0,0.0,0.0,21.0,6.0,9.0,6.0,11.375,6.0,9.0,6.0,13.285714285714286,2
1.0,1.0,0.0,1.0,0.0,0.0,18.0,5.0,9.0,5.0,12.666666666666666,5.0,7.0,4.0,13.0,1
1.0,1.0,0.0,1.0,0.0,0.0,20.0,5.0,6.0,5.0,12.0,5.0,6.0,5.0,12.333333333333334,2
8.0,1.0,0.0,1.0,1.0,0.0,19.0,7.0,9.0,6.0,12.933333333333332,7.0,7.0,6.0,13.716666666666669,1
15.0,0.0,0.0,1.0,1.0,0.0,21.0,6.0,15.0,5.0,11.857142857142858,6.0,17.0,5.0,10.571428571428571,1
16.0,1.0,0.0,1.0,1.0,0.0,20.0,6.0,7.0,6.0,12.833333333333334,6.0,9.0,4.0,13.4,2
1.0,0.0,0.0,0.0,1.0,0.0,18.0,5.0,9.0,3.0,11.333333333333334,5.0,8.0,2.0,13.5,1
9.0,1.0,0.0,1.0,0.0,0.0,19.0,6.0,6.0,6.0,12.666666666666666,6.0,8.0,6.0,14.375,2
1.0,0.0,0.0,1.0,1.0,0.0,34.0,5.0,6.0,5.0,12.4,5.0,9.0,5.0,13.428571428571429,2
12.0,0.0,1.0,0.0,1.0,0.0,37.0,7.0,7.0,0.0,0.0,7.0,7.0,1.0,10.0,0
12.0,1.0,0.0,1.0,1.0,0.0,43.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0
14.0,0.0,0.0,1.0,0.0,0.0,55.0,5.0,10.0,1.0,10.0,5.0,8.0,2.0,12.0,0
12.0,1.0,0.0,1.0,0.0,0.0,39.0,5.0,8.0,5.0,11.0,5.0,5.0,5.0,11.6,2
15.0,0.0,1.0,0.0,0.0,0.0,20.0,6.0,13.0,3.0,11.666666666666666,6.0,11.0,3.0,12.0,0
1.0,0.0,1.0,1.0,0.0,0.0,18.0,6.0,6.0,4.0,12.75,5.0,5.0,0.0,0.0,0
1.0,1.0,0.0,1.0,0.0,0.0,22.0,5.0,5.0,5.0,14.8,5.0,5.0,5.0,15.8,2
1.0,1.0,0.0,1.0,0.0,0.0,22.0,7.0,9.0,5.0,13.928,8.0,9.0,7.0,14.342857142857142,2
8.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,7.0,4.0,13.0,6.0,7.0,5.0,13.8,0
12.0,0.0,0.0,1.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0
8.0,0.0,0.0,1.0,0.0,0.0,24.0,5.0,9.0,2.0,11.5,5.0,11.0,3.0,14.333333333333334,1
8.0,1.0,0.0,1.0,0.0,0.0,18.0,6.0,6.0,6.0,11.666666666666666,6.0,8.0,5.0,13.2,2
8.0,1.0,0.0,1.0,0.0,1.0,22.0,7.0,8.0,6.0,13.516666666666666,8.0,9.0,7.0,13.771428571428572,2
15.0,0.0,0.0,1.0,0.0,1.0,21.0,6.0,6.0,6.0,11.5,6.0,7.0,6.0,13.285714285714286,2
1.0,0.0,0.0,1.0,0.0,1.0,19.0,6.0,7.0,5.0,12.333333333333334,6.0,7.0,6.0,12.833333333333334,2
12.0,0.0,0.0,1.0,0.0,1.0,24.0,6.0,6.0,6.0,13.666666666666666,6.0,6.0,6.0,14.166666666666666,2
1.0,1.0,0.0,1.0,0.0,1.0,19.0,8.0,10.0,6.0,11.833333333333334,8.0,10.0,6.0,11.833333333333334,1
1.0,1.0,0.0,1.0,0.0,1.0,20.0,6.0,11.0,4.0,14.0,6.0,12.0,3.0,11.0,1
1.0,0.0,0.0,1.0,0.0,0.0,19.0,5.0,7.0,5.0,14.714285714285714,5.0,5.0,5.0,15.8,2
12.0,0.0,0.0,1.0,0.0,0.0,27.0,5.0,12.0,5.0,10.6,5.0,10.0,5.0,11.0,0
1.0,1.0,0.0,1.0,0.0,0.0,18.0,7.0,9.0,7.0,13.044444444444444,8.0,10.0,8.0,13.595,2
4.0,0.0,0.0,1.0,0.0,0.0,39.0,6.0,10.0,0.0,0.0,6.0,6.0,0.0,0.0,0
12.0,1.0,0.0,1.0,0.0,0.0,27.0,6.0,9.0,5.0,13.0,11.0,13.0,10.0,12.9,0
8.0,1.0,0.0,1.0,0.0,0.0,18.0,8.0,8.0,8.0,14.935,8.0,8.0,8.0,14.935,2
1.0,1.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,0.0,0.0,1.0,0.0,0.0,18.0,7.0,8.0,6.0,13.133333333333333,8.0,12.0,7.0,12.221428571428572,2
15.0,0.0,0.0,1.0,0.0,1.0,21.0,6.0,7.0,6.0,12.0,6.0,7.0,6.0,12.0,2
8.0,1.0,0.0,1.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.0,1.0,0.0,1.0,1.0,0.0,19.0,6.0,6.0,5.0,11.4,6.0,8.0,1.0,10.0,1
14.0,0.0,0.0,1.0,1.0,0.0,24.0,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,1
13.0,1.0,0.0,1.0,1.0,0.0,29.0,7.0,10.0,5.0,11.9,8.0,10.0,5.0,11.0,0
1.0,1.0,0.0,1.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
15.0,1.0,0.0,1.0,1.0,0.0,23.0,6.0,8.0,6.0,12.571428571428571,6.0,7.0,6.0,12.428571428571429,2
1.0,0.0,1.0,1.0,1.0,0.0,19.0,5.0,8.0,5.0,11.2,5.0,10.0,4.0,10.75,0
12.0,0.0,0.0,1.0,1.0,0.0,26.0,6.0,7.0,6.0,12.0,6.0,8.0,5.0,10.8,1
8.0,0.0,0.0,1.0,1.0,0.0,18.0,5.0,9.0,0.0,0.0,5.0,5.0,0.0,0.0,1
8.0,0.0,0.0,1.0,1.0,0.0,24.0,7.0,8.0,7.0,11.975,8.0,8.0,8.0,13.75,2
1.0,1.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.0,1.0,0.0,1.0,1.0,0.0,18.0,6.0,12.0,3.0,11.666666666666666,6.0,12.0,1.0,12.0,0
1.0,1.0,0.0,1.0,1.0,0.0,18.0,6.0,8.0,6.0,12.333333333333334,6.0,11.0,3.0,12.333333333333334,2
8.0,1.0,1.0,1.0,1.0,0.0,18.0,5.0,8.0,3.0,10.333333333333334,5.0,11.0,3.0,10.857142857142858,0
9.0,1.0,0.0,1.0,1.0,1.0,21.0,6.0,8.0,4.0,10.5,6.0,11.0,1.0,11.0,0
8.0,1.0,1.0,1.0,1.0,1.0,19.0,6.0,6.0,6.0,13.666666666666666,6.0,6.0,6.0,13.333333333333334,2
8.0,0.0,0.0,1.0,1.0,1.0,22.0,7.0,7.0,7.0,14.842857142857142,8.0,9.0,8.0,15.055555555555555,2
12.0,0.0,0.0,1.0,1.0,0.0,33.0,6.0,8.0,6.0,12.0,6.0,6.0,6.0,11.666666666666666,2
1.0,1.0,0.0,1.0,1.0,0.0,20.0,6.0,8.0,5.0,12.2,6.0,7.0,5.0,12.2,0
12.0,1.0,0.0,1.0,1.0,0.0,35.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0
12.0,0.0,1.0,1.0,1.0,0.0,24.0,12.0,17.0,6.0,12.166666666666666,12.0,14.0,10.0,13.3,0
8.0,0.0,0.0,1.0,1.0,0.0,18.0,5.0,6.0,5.0,12.0,5.0,8.0,3.0,11.333333333333334,1
12.0,1.0,0.0,1.0,0.0,0.0,33.0,6.0,7.0,6.0,11.0,6.0,11.0,5.0,11.0,2
13.0,1.0,0.0,1.0,0.0,1.0,22.0,8.0,8.0,7.0,13.08,8.0,8.0,7.0,13.08,2
12.0,0.0,0.0,1.0,0.0,1.0,25.0,5.0,7.0,4.0,10.5,5.0,7.0,5.0,11.6,2
8.0,1.0,0.0,1.0,1.0,0.0,20.0,6.0,9.0,6.0,10.666666666666666,6.0,6.0,5.0,11.2,2
1.0,1.0,0.0,1.0,1.0,0.0,23.0,5.0,6.0,4.0,14.0,5.0,5.0,5.0,13.8,1
14.0,1.0,1.0,1.0,1.0,0.0,18.0,5.0,9.0,2.0,10.0,5.0,9.0,0.0,0.0,1
12.0,0.0,0.0,1.0,1.0,0.0,24.0,7.0,18.0,0.0,0.0,7.0,7.0,0.0,0.0,0
8.0,1.0,0.0,0.0,0.0,0.0,21.0,6.0,6.0,6.0,14.0,6.0,6.0,6.0,13.5,2
6.0,0.0,0.0,1.0,0.0,0.0,26.0,6.0,7.0,2.0,12.0,6.0,6.0,0.0,0.0,0
12.0,0.0,0.0,1.0,0.0,0.0,39.0,6.0,12.0,3.0,12.666666666666666,6.0,14.0,0.0,0.0,0
12.0,0.0,0.0,1.0,0.0,0.0,44.0,8.0,11.0,8.0,11.875,6.0,7.0,6.0,12.333333333333334,2
6.0,1.0,0.0,1.0,1.0,0.0,19.0,5.0,9.0,5.0,14.0,5.0,11.0,3.0,13.25,1
1.0,1.0,0.0,1.0,0.0,0.0,18.0,6.0,6.0,6.0,13.666666666666666,6.0,6.0,6.0,13.333333333333334,2
1.0,1.0,0.0,1.0,0.0,1.0,18.0,7.0,7.0,7.0,13.75,8.0,9.0,8.0,14.47777777777778,2
1.0,1.0,0.0,1.0,0.0,0.0,19.0,5.0,7.0,5.0,14.2,5.0,7.0,5.0,13.8,1
1.0,1.0,1.0,0.0,0.0,0.0,19.0,7.0,10.0,4.0,11.96,7.0,7.0,0.0,0.0,0
17.0,0.0,0.0,1.0,0.0,0.0,21.0,10.0,12.0,8.0,12.875,9.0,14.0,5.0,13.4,0
1.0,1.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
12.0,1.0,0.0,1.0,0.0,0.0,36.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0
12.0,0.0,0.0,1.0,0.0,0.0,43.0,18.0,19.0,18.0,14.63157894736842,13.0,14.0,13.0,14.23076923076923,2
9.0,1.0,0.0,1.0,0.0,0.0,19.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0
16.0,0.0,1.0,1.0,0.0,0.0,20.0,10.0,12.0,10.0,13.0,11.0,11.0,11.0,12.272727272727272,2
1.0,1.0,0.0,1.0,0.0,0.0,19.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0
1.0,1.0,0.0,1.0,0.0,0.0,20.0,6.0,15.0,4.0,14.2,6.0,17.0,4.0,13.25,0
1.0,1.0,0.0,1.0,0.0,0.0,20.0,7.0,9.0,6.0,13.266666666666666,7.0,10.0,5.0,12.3,0
8.0,1.0,0.0,1.0,0.0,0.0,20.0,7.0,12.0,6.0,11.666666666666666,7.0,10.0,3.0,13.0,1
1.0,1.0,0.0,1.0,0.0,0.0,18.0,6.0,8.0,6.0,13.857142857142858,6.0,6.0,6.0,15.0,2
8.0,1.0,0.0,1.0,0.0,1.0,18.0,5.0,9.0,3.0,13.0,5.0,11.0,3.0,11.0,1
1.0,1.0,0.0,1.0,0.0,0.0,19.0,5.0,6.0,5.0,13.4,5.0,5.0,5.0,12.8,2
1.0,1.0,0.0,1.0,0.0,0.0,18.0,6.0,6.0,6.0,12.666666666666666,6.0,7.0,6.0,12.571428571428571,2
8.0,1.0,0.0,1.0,0.0,0.0,18.0,7.0,7.0,6.0,12.516666666666666,7.0,7.0,6.0,12.516666666666666,0
14.0,0.0,0.0,1.0,0.0,0.0,20.0,7.0,11.0,6.0,11.616666666666667,7.0,7.0,7.0,13.0,1
8.0,1.0,0.0,1.0,0.0,1.0,20.0,6.0,13.0,2.0,10.0,6.0,12.0,4.0,10.75,1
8.0,0.0,0.0,1.0,0.0,0.0,20.0,5.0,11.0,3.0,10.333333333333334,5.0,10.0,3.0,10.666666666666666,1
1.0,0.0,0.0,1.0,0.0,0.0,18.0,5.0,12.0,5.0,13.142857142857142,5.0,6.0,5.0,11.4,2
1.0,0.0,0.0,1.0,0.0,0.0,18.0,5.0,5.0,5.0,12.6,5.0,5.0,5.0,14.0,2
8.0,1.0,0.0,1.0,0.0,0.0,21.0,6.0,12.0,3.0,11.0,6.0,12.0,2.0,11.0,0
1.0,1.0,0.0,1.0,0.0,0.0,19.0,5.0,8.0,5.0,10.8,5.0,9.0,4.0,11.25,2
1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,1.0,0.0,1.0,19.0,5.0,5.0,5.0,12.8,5.0,5.0,5.0,14.2,2
1.0,1.0,0.0,1.0,0.0,0.0,19.0,6.0,15.0,6.0,14.166666666666666,6.0,13.0,6.0,12.2,2
8.0,1.0,0.0,1.0,0.0,0.0,19.0,7.0,12.0,5.0,12.1,7.0,0.0,0.0,0.0,0
15.0,1.0,0.0,1.0,0.0,0.0,20.0,6.0,7.0,6.0,14.166666666666666,6.0,17.0,5.0,13.77777777777778,2
1.0,1.0,0.0,1.0,0.0,1.0,18.0,6.0,8.0,5.0,12.8,6.0,7.0,5.0,13.4,1
8.0,1.0,0.0,1.0,0.0,0.0,18.0,6.0,7.0,6.0,13.0,6.0,6.0,6.0,13.666666666666666,2
8.0,1.0,0.0,1.0,0.0,0.0,19.0,7.0,7.0,7.0,13.467142857142855,8.0,9.0,8.0,15.011111111111113,2
1.0,1.0,0.0,1.0,0.0,1.0,18.0,7.0,9.0,7.0,13.2375,8.0,9.0,7.0,13.742857142857144,0
8.0,1.0,0.0,1.0,0.0,0.0,18.0,6.0,6.0,6.0,12.333333333333334,6.0,6.0,6.0,13.0,2
1.0,1.0,0.0,1.0,0.0,0.0,19.0,5.0,7.0,5.0,12.4,5.0,5.0,5.0,14.6,2
8.0,1.0,0.0,1.0,0.0,0.0,19.0,7.0,8.0,5.0,14.0,7.0,7.0,0.0,0.0,0
14.0,0.0,0.0,1.0,0.0,0.0,20.0,9.0,15.0,9.0,11.666666666666666,7.0,8.0,7.0,11.714285714285714,2
1.0,0.0,1.0,0.0,0.0,1.0,19.0,6.0,7.0,5.0,12.0,6.0,9.0,4.0,12.5,0
8.0,1.0,0.0,1.0,0.0,0.0,20.0,5.0,7.0,4.0,12.2,5.0,5.0,4.0,11.5,2
1.0,0.0,1.0,1.0,0.0,1.0,18.0,6.0,6.0,6.0,14.833333333333334,6.0,6.0,6.0,14.833333333333334,2
1.0,0.0,0.0,1.0,0.0,1.0,20.0,7.0,9.0,5.0,13.188,8.0,9.0,7.0,12.892857142857142,1
9.0,0.0,0.0,1.0,0.0,0.0,18.0,7.0,8.0,7.0,17.125,8.0,8.0,8.0,17.5875,2
1.0,1.0,0.0,1.0,0.0,0.0,19.0,7.0,7.0,6.0,12.666666666666666,7.0,7.0,6.0,12.666666666666666,2
1.0,1.0,0.0,1.0,0.0,1.0,19.0,6.0,8.0,6.0,12.666666666666666,6.0,10.0,5.0,12.0,2
16.0,1.0,1.0,0.0,0.0,0.0,22.0,5.0,8.0,0.0,0.0,5.0,7.0,0.0,0.0,1
1.0,1.0,0.0,1.0,0.0,1.0,19.0,6.0,7.0,6.0,11.333333333333334,6.0,6.0,6.0,11.5,2
1.0,1.0,0.0,1.0,0.0,1.0,19.0,7.0,10.0,7.0,13.605,8.0,11.0,8.0,12.33125,2
8.0,1.0,0.0,1.0,0.0,1.0,19.0,6.0,10.0,5.0,12.0,6.0,9.0,5.0,10.8,2
1.0,1.0,0.0,1.0,0.0,0.0,19.0,5.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0
8.0,1.0,0.0,1.0,0.0,0.0,20.0,6.0,8.0,5.0,11.2,6.0,12.0,3.0,11.666666666666666,0
1.0,0.0,0.0,1.0,0.0,0.0,18.0,5.0,10.0,5.0,13.375,5.0,9.0,5.0,14.166666666666666,2
1.0,0.0,0.0,1.0,0.0,1.0,20.0,7.0,8.0,6.0,13.863333333333337,8.0,9.0,7.0,14.178571428571429,2
1.0,1.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,0.0,0.0,1.0,0.0,0.0,19.0,5.0,6.0,5.0,12.4,5.0,6.0,5.0,13.4,2
8.0,1.0,0.0,1.0,0.0,0.0,18.0,6.0,11.0,3.0,12.333333333333334,6.0,10.0,5.0,10.833333333333334,1
1.0,1.0,0.0,1.0,0.0,0.0,18.0,6.0,7.0,6.0,13.333333333333334,6.0,8.0,5.0,11.8,2
14.0,1.0,0.0,1.0,0.0,0.0,21.0,6.0,10.0,3.0,12.666666666666666,6.0,12.0,3.0,10.0,0
1.0,0.0,0.0,1.0,0.0,0.0,19.0,6.0,8.0,6.0,12.0,6.0,10.0,4.0,11.5,0
1.0,0.0,0.0,1.0,0.0,1.0,18.0,5.0,5.0,5.0,10.6,5.0,5.0,5.0,11.8,2
8.0,1.0,0.0,1.0,0.0,1.0,18.0,6.0,8.0,6.0,12.25,6.0,7.0,6.0,11.857142857142858,2
1.0,1.0,0.0,1.0,0.0,0.0,20.0,6.0,10.0,4.0,11.0,6.0,9.0,6.0,11.833333333333334,2
12.0,0.0,0.0,1.0,0.0,1.0,24.0,6.0,11.0,5.0,11.0,6.0,9.0,5.0,12.6,2
1.0,0.0,0.0,1.0,0.0,0.0,19.0,6.0,6.0,6.0,13.166666666666666,6.0,9.0,6.0,13.0,0
1.0,1.0,0.0,1.0,0.0,1.0,18.0,7.0,9.0,7.0,12.855555555555554,8.0,12.0,7.0,12.761111111111113,2
1.0,1.0,0.0,1.0,0.0,0.0,18.0,7.0,8.0,7.0,14.91875,8.0,8.0,8.0,15.355,2
8.0,1.0,0.0,1.0,0.0,0.0,21.0,6.0,13.0,4.0,11.5,6.0,10.0,3.0,11.0,0
8.0,0.0,0.0,1.0,0.0,0.0,19.0,5.0,5.0,5.0,14.2,5.0,5.0,5.0,14.2,2
8.0,0.0,0.0,1.0,0.0,1.0,19.0,6.0,6.0,6.0,12.5,6.0,7.0,6.0,13.0,2
12.0,0.0,1.0,1.0,0.0,0.0,47.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1
8.0,0.0,0.0,1.0,0.0,0.0,19.0,6.0,10.0,5.0,11.666666666666666,6.0,12.0,4.0,11.0,2
12.0,0.0,0.0,1.0,0.0,0.0,29.0,8.0,8.0,7.0,14.257142857142856,8.0,8.0,7.0,14.257142857142856,2
14.0,1.0,0.0,1.0,0.0,0.0,21.0,6.0,13.0,3.0,12.0,6.0,12.0,2.0,11.333333333333334,0
12.0,1.0,0.0,1.0,0.0,0.0,28.0,5.0,13.0,4.0,11.25,5.0,11.0,4.0,10.5,1
8.0,0.0,0.0,1.0,0.0,0.0,20.0,7.0,8.0,7.0,12.457142857142856,8.0,8.0,8.0,13.5625,2
8.0,1.0,0.0,1.0,0.0,0.0,19.0,7.0,7.0,6.0,11.683333333333332,7.0,7.0,6.0,11.683333333333332,2
13.0,0.0,0.0,1.0,0.0,0.0,26.0,6.0,10.0,3.0,11.666666666666666,6.0,8.0,5.0,12.0,2
8.0,1.0,1.0,0.0,0.0,0.0,20.0,6.0,8.0,4.0,11.75,6.0,6.0,6.0,13.166666666666666,0
1.0,1.0,0.0,1.0,0.0,1.0,18.0,5.0,6.0,3.0,11.666666666666666,5.0,6.0,4.0,13.5,1
12.0,0.0,0.0,1.0,0.0,0.0,27.0,6.0,9.0,5.0,13.2,6.0,10.0,5.0,12.0,2
1.0,1.0,0.0,1.0,0.0,0.0,20.0,7.0,8.0,4.0,11.95,7.0,8.0,4.0,11.95,0
1.0,1.0,0.0,1.0,0.0,0.0,18.0,6.0,8.0,5.0,12.4,6.0,12.0,5.0,10.4,0
4.0,0.0,0.0,1.0,0.0,0.0,33.0,7.0,8.0,6.0,14.35,8.0,10.0,6.0,14.583333333333334,0
14.0,1.0,0.0,1.0,0.0,0.0,35.0,21.0,21.0,21.0,12.61904761904762,19.0,19.0,19.0,12.789473684210526,2
15.0,0.0,0.0,1.0,0.0,1.0,26.0,6.0,7.0,6.0,12.666666666666666,6.0,7.0,6.0,13.166666666666666,1
12.0,0.0,1.0,0.0,0.0,0.0,27.0,6.0,6.0,5.0,12.0,6.0,6.0,0.0,0.0,0
9.0,1.0,0.0,0.0,0.0,0.0,19.0,6.0,6.0,6.0,12.166666666666666,6.0,6.0,0.0,0.0,0
8.0,0.0,0.0,1.0,0.0,0.0,20.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0
9.0,1.0,1.0,0.0,0.0,0.0,20.0,5.0,9.0,3.0,10.0,5.0,9.0,3.0,10.571428571428571,0
14.0,0.0,1.0,0.0,0.0,0.0,21.0,10.0,18.0,8.0,11.5,6.0,12.0,4.0,10.0,1
8.0,1.0,0.0,1.0,0.0,1.0,18.0,7.0,7.0,6.0,13.05,7.0,7.0,6.0,13.05,2
12.0,1.0,0.0,1.0,0.0,0.0,24.0,6.0,10.0,2.0,11.0,6.0,6.0,0.0,0.0,0
8.0,1.0,0.0,1.0,0.0,0.0,20.0,6.0,7.0,6.0,11.5,6.0,6.0,6.0,12.0,2
1.0,0.0,0.0,1.0,0.0,1.0,21.0,6.0,7.0,6.0,12.0,6.0,6.0,6.0,12.5,2
1.0,0.0,0.0,1.0,0.0,0.0,23.0,6.0,13.0,2.0,10.0,5.0,12.0,1.0,10.0,1
12.0,1.0,0.0,1.0,0.0,0.0,24.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0
16.0,0.0,0.0,1.0,0.0,0.0,21.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0
1.0,1.0,0.0,1.0,0.0,0.0,18.0,8.0,8.0,7.0,12.242857142857144,8.0,8.0,7.0,12.242857142857144,2
12.0,1.0,0.0,1.0,0.0,0.0,27.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0
9.0,1.0,0.0,1.0,0.0,0.0,18.0,8.0,8.0,8.0,12.93375,8.0,8.0,8.0,12.93375,2
4.0,0.0,0.0,1.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0
1.0,0.0,0.0,1.0,0.0,0.0,18.0,7.0,9.0,7.0,12.571428571428571,7.0,8.0,7.0,14.428571428571429,2
12.0,0.0,0.0,1.0,0.0,0.0,35.0,3.0,4.0,3.0,11.816666666666668,3.0,3.0,3.0,11.333333333333334,1
1.0,1.0,0.0,1.0,0.0,0.0,19.0,5.0,9.0,4.0,13.75,5.0,13.0,4.0,14.333333333333334,2
1.0,1.0,0.0,1.0,0.0,0.0,20.0,6.0,8.0,6.0,11.166666666666666,6.0,6.0,6.0,11.333333333333334,2
1.0,1.0,0.0,1.0,0.0,0.0,18.0,8.0,8.0,7.0,12.324285714285711,8.0,8.0,7.0,12.324285714285711,2
15.0,0.0,1.0,1.0,0.0,0.0,21.0,6.0,6.0,6.0,12.166666666666666,6.0,7.0,6.0,11.714285714285714,2
8.0,0.0,0.0,1.0,0.0,1.0,18.0,6.0,11.0,5.0,11.142857142857142,6.0,11.0,4.0,11.25,2
1.0,1.0,0.0,1.0,0.0,0.0,18.0,6.0,9.0,4.0,11.0,6.0,9.0,4.0,10.75,2
1.0,1.0,0.0,1.0,0.0,0.0,18.0,8.0,8.0,7.0,12.914285714285713,8.0,8.0,7.0,12.914285714285713,2
1.0,1.0,0.0,1.0,0.0,1.0,18.0,6.0,6.0,6.0,13.833333333333334,6.0,6.0,6.0,14.166666666666666,2
1.0,1.0,0.0,1.0,0.0,0.0,19.0,6.0,8.0,6.0,13.857142857142858,6.0,9.0,5.0,13.4,2
12.0,0.0,0.0,1.0,0.0,1.0,36.0,6.0,7.0,6.0,13.714285714285714,6.0,6.0,5.0,12.8,0
